Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Afghanistan","AFG","510.052","355.447","271.596","274.007","278.424","274.045","311.655","319.849","305.768","318.587","342.158","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Albania","ALB","127.21","110.606","93.142","89.576","86.126","82.916","79.586","76.657","74.029","114.508","122.111","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Algeria","DZA","198.029","159.175","111.636","107.89","101.649","99.763","100.076","97.97","95.854","114.976","95.798","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","American Samoa","ASM","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Andorra","AND","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Angola","AGO","559.379","469.15","332.765","326.818","321.296","316.08","308.611","308.888","305.594","313.481","331.364","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Antigua and Barbuda","ATG","169.417","160.223","128.908","125.117","121.164","117.334","114.053","110.404","106.9","104.003","100.408","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Argentina","ARG","197.946","176.243","147.396","142.238","143.506","147.558","140.418","138.893","136.151","147.707","147.702","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Armenia","ARM","224.303","220.374","194.234","191.787","186.538","185.84","182.583","182.054","176.089","249.284","260.344","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Aruba","ABW","179.24","169.694","138.647","136.992","135.037","134.258","130.629","127.002","124.312","124.099","140.466","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Australia","AUS","123.906","97.967","75.516","76.934","78.367","76.101","77.31","74.055","75.193","73.018","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Austria","AUT","155.102","126.568","89.369","85.621","84.688","80.37","79.032","79.401","75.489","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Azerbaijan","AZE","314.24","279.173","198.338","196.675","194.524","191.442","185.275","174.7","168.65","319.122","263.766","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Bahamas, The","BHS","259.214","238.701","235.541","230.208","231.769","228.659","228.923","226.164","234.53","236.261","252.293","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Bahrain","BHR","129.677","114.508","66.609","66.019","64.528","63.291","61.813","59.62","58.199","59.491","61.659","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Bangladesh","BGD","248.913","180.505","193.102","183.411","176.354","169.798","161.494","149.093","153.103","156.333","163.031","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Barbados","BRB","175.302","170.064","133.051","131.902","130.876","129.608","128.78","127.555","126.348","125.431","123.948","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Belarus","BLR","281.951","354.094","273.671","261.217","245.384","234.903","227.765","231.323","#N/A","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Belgium","BEL","138.666","130.497","94.41","91.495","89.437","86.252","82.997","80.464","77.72","82.326","80.681","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Belize","BLZ","179.999","249.238","194.17","203.784","208.195","204.54","201.648","199.067","194.636","239.508","277.53","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Benin","BEN","342.23","306.59","291.195","288.604","289.617","287.304","286.886","282.252","282.721","288.981","302.469","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Bermuda","BMU","186.811","124.81","117.581","109.544","104.001","107.884","105.956","101.461","98.475","97.284","130.443","#N/A"
